"DS2ILYCO.Code.or.Value","DS2ILYCO.Value.Description","DS2ILYCO.Count","DS2ILYCO.Cumulative","DS2ILYCO.Skip.to.Item"
"100 to 30000","Range of Values",447,447,NA
".","Missing",5079,5526,NA
