"DR1IP225.Code.or.Value","DR1IP225.Value.Description","DR1IP225.Count","DR1IP225.Cumulative","DR1IP225.Skip.to.Item"
"0 to 0.914","Range of Values",150340,150340,NA
".","Missing",651,150991,NA
