"URXFRM.Code.or.Value","URXFRM.Value.Description","URXFRM.Count","URXFRM.Cumulative","URXFRM.Skip.to.Item"
"0.0424 to 0.0424","Range of Values",2534,2534,NA
".","Missing",222,2756,NA
