"WBXP029.Code.or.Value","WBXP029.Value.Description","WBXP029.Count","WBXP029.Cumulative","WBXP029.Skip.to.Item"
"-63.3183 to 156.882","Range of Values",8551,8551,NA
".","Missing",3,8554,NA
