"SMQ690A.Code.or.Value","SMQ690A.Value.Description","SMQ690A.Count","SMQ690A.Cumulative","SMQ690A.Skip.to.Item"
"1","Cigarettes",1119,1119,NA
"77","Refused",0,1119,NA
"99","Don't know",0,1119,NA
".","Missing",5860,6979,NA
