"DRXFDCD.Code.or.Value","DRXFDCD.Value.Description","DRXFDCD.Count","DRXFDCD.Cumulative","DRXFDCD.Skip.to.Item"
"11000000 to 94210200","Range of Values",7177,7177,NA
".","Missing",0,7177,NA
