"DRD350HQ.Code.or.Value","DRD350HQ.Value.Description","DRD350HQ.Count","DRD350HQ.Cumulative","DRD350HQ.Skip.to.Item"
"1 to 30","Range of Values",1075,1075,NA
".","Missing",8568,9643,NA
