"OSD030be.Code.or.Value","OSD030be.Value.Description","OSD030be.Count","OSD030be.Cumulative","OSD030be.Skip.to.Item"
"14 to 29","Range of Values",3,3,NA
"85","85 or older",0,3,NA
"77777","Refused",0,3,NA
"99999","Don't know",1,4,NA
".","Missing",5037,5041,NA
