"OSD030ca.Code.or.Value","OSD030ca.Value.Description","OSD030ca.Count","OSD030ca.Cumulative","OSD030ca.Skip.to.Item"
"2 to 79","Range of Values",72,72,NA
"80","80 or older",0,72,NA
"77777","Refused",0,72,NA
"99999","Don't know",4,76,NA
".","Missing",3739,3815,NA
