"OHQ560U.Code.or.Value","OHQ560U.Value.Description","OHQ560U.Count","OHQ560U.Cumulative","OHQ560U.Skip.to.Item"
"1","Months",430,430,NA
"2","Years",2255,2685,NA
".","Missing",7085,9770,NA
