"LBXRBFSI.Code.or.Value","LBXRBFSI.Value.Description","LBXRBFSI.Count","LBXRBFSI.Cumulative","LBXRBFSI.Skip.to.Item"
"194 to 6760","Range of Values",8243,8243,NA
".","Missing",1064,9307,NA
