"DRD350G.Code.or.Value","DRD350G.Value.Description","DRD350G.Count","DRD350G.Cumulative","DRD350G.Skip.to.Item"
"1","Yes",110,110,""
"2","No",1195,1305,"DRD350H"
".","Missing",9172,10477,""
