"URDDCBLC.Code.or.Value","URDDCBLC.Value.Description","URDDCBLC.Count","URDDCBLC.Cumulative","URDDCBLC.Skip.to.Item"
"0","At or above the detection limit",2380,2380,NA
"1","Below lower detection limit",224,2604,NA
".","Missing",114,2718,NA
