"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"40.7 to 179","Range of Values",8973,8973,NA
".","Missing",1280,10253,NA
