"BIDPFAT.Code.or.Value","BIDPFAT.Value.Description","BIDPFAT.Count","BIDPFAT.Cumulative","BIDPFAT.Skip.to.Item"
"3.2 to 64.2","Range of Values",4083,4083,NA
".","Missing",1228,5311,NA
