"DS2IKCAL.Code.or.Value","DS2IKCAL.Value.Description","DS2IKCAL.Count","DS2IKCAL.Cumulative","DS2IKCAL.Skip.to.Item"
"1.25 to 240","Range of Values",1345,1345,NA
".","Missing",4558,5903,NA
