"LBCBR8.Code.or.Value","LBCBR8.Value.Description","LBCBR8.Count","LBCBR8.Cumulative","LBCBR8.Skip.to.Item"
"1.8 to 55.4","Range of Values",247,247,NA
".","Missing",0,247,NA
