"WBXP042.Code.or.Value","WBXP042.Value.Description","WBXP042.Count","WBXP042.Cumulative","WBXP042.Skip.to.Item"
"-121.1192 to 146.8608","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
