"DS1IVC.Code.or.Value","DS1IVC.Value.Description","DS1IVC.Count","DS1IVC.Cumulative","DS1IVC.Skip.to.Item"
"0.216 to 6000","Range of Values",2338,2338,NA
".","Missing",3385,5723,NA
