"LBXD02.Code.or.Value","LBXD02.Value.Description","LBXD02.Count","LBXD02.Cumulative","LBXD02.Skip.to.Item"
"8.27 to 463.3","Range of Values",1239,1239,NA
".","Missing",1308,2547,NA
