"OHD06LAM.Code.or.Value","OHD06LAM.Value.Description","OHD06LAM.Count","OHD06LAM.Cumulative","OHD06LAM.Skip.to.Item"
"0 to 9","Range of Values",2258,2258,NA
"99","Calculation cannot be determined",251,2509,NA
".","Missing",4209,6718,NA
