"FFQ0006A.Code.or.Value","FFQ0006A.Value.Description","FFQ0006A.Count","FFQ0006A.Cumulative","FFQ0006A.Skip.to.Item"
1,"Almost never or never",3823,3823,NA
2,"About 1/4 of the time",506,4329,NA
3,"About 1/2 of the time",338,4667,NA
4,"About 3/4 of the time",142,4809,NA
5,"Almost always or always",372,5181,NA
88,"Blank",1288,6469,NA
99,"Error",3,6472,NA
