"DXXLLA.Code.or.Value","DXXLLA.Value.Description","DXXLLA.Count","DXXLLA.Cumulative","DXXLLA.Skip.to.Item"
"159.13 to 529.65","Range of Values",4862,4862,NA
".","Missing",918,5780,NA
