"DRD370T.Code.or.Value","DRD370T.Value.Description","DRD370T.Count","DRD370T.Cumulative","DRD370T.Skip.to.Item"
"1","Yes",1318,1318,""
"2","No",3803,5121,"DRD370U"
".","Missing",4692,9813,""
