"DXDSTLE.Code.or.Value","DXDSTLE.Value.Description","DXDSTLE.Count","DXDSTLE.Cumulative","DXDSTLE.Skip.to.Item"
"11247.1 to 107447.8","Range of Values",4544,4544,NA
".","Missing",1148,5692,NA
