"LBXSTR.Code.or.Value","LBXSTR.Value.Description","LBXSTR.Count","LBXSTR.Cumulative","LBXSTR.Skip.to.Item"
"19 to 6057","Range of Values",6549,6549,NA
".","Missing",430,6979,NA
