"LBXTC.Code.or.Value","LBXTC.Value.Description","LBXTC.Count","LBXTC.Cumulative","LBXTC.Skip.to.Item"
"72 to 575","Range of Values",7429,7429,NA
".","Missing",915,8344,NA
