"SSGII3O1.Code.or.Value","SSGII3O1.Value.Description","SSGII3O1.Count","SSGII3O1.Cumulative","SSGII3O1.Skip.to.Item"
"0 to 3.5","Range of Values",938,938,NA
".","Missing",8,946,NA
