"DSQICHL.Code.or.Value","DSQICHL.Value.Description","DSQICHL.Count","DSQICHL.Cumulative","DSQICHL.Skip.to.Item"
"0.00495 to 648","Range of Values",791,791,NA
".","Missing",7609,8400,NA
