"DR2ITFAT.Code.or.Value","DR2ITFAT.Value.Description","DR2ITFAT.Count","DR2ITFAT.Cumulative","DR2ITFAT.Skip.to.Item"
"0 to 234.59","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
