"BPQ090D.Code.or.Value","BPQ090D.Value.Description","BPQ090D.Count","BPQ090D.Cumulative","BPQ090D.Skip.to.Item"
"1","Yes",1335,1335,NA
"2","No",539,1874,NA
"7","Refused",0,1874,NA
"9","Don't know",1,1875,NA
".","Missing",5014,6889,NA
