"OCQ550.Code.or.Value","OCQ550.Value.Description","OCQ550.Count","OCQ550.Cumulative","OCQ550.Skip.to.Item"
"1","Yes",1400,1400,""
"2","No",4277,5677,"OCQ570"
"7","Refused",1,5678,"OCQ570"
"9","Don't know",3,5681,"OCQ570"
".","Missing",865,6546,""
