"WTSCI45.Code.or.Value","WTSCI45.Value.Description","WTSCI45.Count","WTSCI45.Cumulative","WTSCI45.Skip.to.Item"
"0 to 478047.38164","Range of Values",727,727,NA
".","Missing",51,778,NA
