"PAD645.Code.or.Value","PAD645.Value.Description","PAD645.Count","PAD645.Cumulative","PAD645.Skip.to.Item"
"10 to 840","Range of Values",2040,2040,NA
"7777","Refused",0,2040,NA
"9999","Don't know",3,2043,NA
".","Missing",7441,9484,NA
