"CVQ220k.Code.or.Value","CVQ220k.Value.Description","CVQ220k.Count","CVQ220k.Cumulative","CVQ220k.Skip.to.Item"
"1","Yes",41,41,NA
"2","No",491,532,NA
".","Missing",4070,4602,NA
