"LBCODTLA.Code.or.Value","LBCODTLA.Value.Description","LBCODTLA.Count","LBCODTLA.Cumulative","LBCODTLA.Skip.to.Item"
"0.5 to 14","Range of Values",264,264,NA
".","Missing",0,264,NA
