"URDTIME2.Code.or.Value","URDTIME2.Value.Description","URDTIME2.Count","URDTIME2.Cumulative","URDTIME2.Skip.to.Item"
"1 to 253","Range of Values",1464,1464,NA
".","Missing",7144,8608,NA
