"URDUTMLC.Code.or.Value","URDUTMLC.Value.Description","URDUTMLC.Count","URDUTMLC.Cumulative","URDUTMLC.Skip.to.Item"
"0","At or above the detection limit",6,6,NA
"1","Below lower detection limit",2582,2588,NA
".","Missing",104,2692,NA
