"WTSSTT2Y.Code.or.Value","WTSSTT2Y.Value.Description","WTSSTT2Y.Count","WTSSTT2Y.Cumulative","WTSSTT2Y.Skip.to.Item"
"5700.578442 to 247519.73303","Range of Values",6099,6099,NA
"0","No lab specimen",0,6099,NA
".","Missing",0,6099,NA
