"DEQ6IASH.Code.or.Value","DEQ6IASH.Value.Description","DEQ6IASH.Count","DEQ6IASH.Cumulative","DEQ6IASH.Skip.to.Item"
"1","Present",0,0,NA
".","Missing",2992,2992,NA
