"DR2IM201.Code.or.Value","DR2IM201.Value.Description","DR2IM201.Count","DR2IM201.Cumulative","DR2IM201.Skip.to.Item"
"0 to 5.617","Range of Values",131205,131205,NA
".","Missing",946,132151,NA
