"DRD370U.Code.or.Value","DRD370U.Value.Description","DRD370U.Count","DRD370U.Cumulative","DRD370U.Skip.to.Item"
"1","Yes",374,374,""
"2","No",4706,5080,"DRD370V"
".","Missing",4202,9282,""
