"LBXPM1.Code.or.Value","LBXPM1.Value.Description","LBXPM1.Count","LBXPM1.Cumulative","LBXPM1.Skip.to.Item"
"950 to 16500","Range of Values",4415,4415,NA
".","Missing",1228,5643,NA
