"DXXINA.Code.or.Value","DXXINA.Value.Description","DXXINA.Count","DXXINA.Cumulative","DXXINA.Skip.to.Item"
"11.82 to 61.47","Range of Values",3126,3126,NA
".","Missing",582,3708,NA
