"MCQ160E.Code.or.Value","MCQ160E.Value.Description","MCQ160E.Count","MCQ160E.Cumulative","MCQ160E.Skip.to.Item"
"1","Yes",282,282,""
"2","No",5642,5924,"MCQ160F"
"7","Refused",0,5924,"MCQ160F"
"9","Don't know",11,5935,"MCQ160F"
".","Missing",3731,9666,""
