"ALQ130.Code.or.Value","ALQ130.Value.Description","ALQ130.Count","ALQ130.Cumulative","ALQ130.Skip.to.Item"
"1 to 36","Range of Values",3664,3664,NA
"777","Refused",0,3664,NA
"999","Don't know",2,3666,NA
".","Missing",2393,6059,NA
