"DXXNKBMD.Code.or.Value","DXXNKBMD.Value.Description","DXXNKBMD.Count","DXXNKBMD.Cumulative","DXXNKBMD.Skip.to.Item"
"0.334 to 1.626","Range of Values",6963,6963,NA
".","Missing",1222,8185,NA
