"DR2TB12A.Code.or.Value","DR2TB12A.Value.Description","DR2TB12A.Count","DR2TB12A.Cumulative","DR2TB12A.Skip.to.Item"
"0 to 80.09","Range of Values",8264,8264,NA
".","Missing",1686,9950,NA
