"OSQ010a.Code.or.Value","OSQ010a.Value.Description","OSQ010a.Count","OSQ010a.Cumulative","OSQ010a.Skip.to.Item"
"1","Yes",72,72,"OSQ020a"
"2","No",5858,5930,""
"7","Refused",0,5930,""
"9","Don't know",5,5935,""
".","Missing",0,5935,""
