"URX3TB.Code.or.Value","URX3TB.Value.Description","URX3TB.Count","URX3TB.Cumulative","URX3TB.Skip.to.Item"
"0.35 to 61.8","Range of Values",2604,2604,NA
".","Missing",114,2718,NA
