"URDUSBLC.Code.or.Value","URDUSBLC.Value.Description","URDUSBLC.Count","URDUSBLC.Cumulative","URDUSBLC.Skip.to.Item"
"0","At or above the detection limit",1601,1601,NA
"1","Below lower detection limit",957,2558,NA
".","Missing",115,2673,NA
