"CIQGPN.Code.or.Value","CIQGPN.Value.Description","CIQGPN.Count","CIQGPN.Cumulative","CIQGPN.Skip.to.Item"
"1","Yes",3,3,"CIQGPN"
"2","No",2,5,""
"7","Refused",0,5,""
"9","Don't know",0,5,""
".","Missing",923,928,""
