"RFXT033.Code.or.Value","RFXT033.Value.Description","RFXT033.Count","RFXT033.Cumulative","RFXT033.Skip.to.Item"
"274 to 283","Range of Values",51067,51067,NA
".","Missing",9,51076,NA
