"ALQ140Q.Code.or.Value","ALQ140Q.Value.Description","ALQ140Q.Count","ALQ140Q.Cumulative","ALQ140Q.Skip.to.Item"
"0 to 365","Range of Values",2696,2696,NA
"777","Refused",0,2696,NA
"999","Don't know",3,2699,NA
".","Missing",2043,4742,NA
