"URD4MALC.Code.or.Value","URD4MALC.Value.Description","URD4MALC.Count","URD4MALC.Cumulative","URD4MALC.Skip.to.Item"
"0","At or above detection limit",1584,1584,NA
"1","Below lower detection limit",1247,2831,NA
".","Missing",448,3279,NA
