"DRD350IQ.Code.or.Value","DRD350IQ.Value.Description","DRD350IQ.Count","DRD350IQ.Cumulative","DRD350IQ.Skip.to.Item"
"1 to 16","Range of Values",204,204,NA
".","Missing",9746,9950,NA
