"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",6396,6396,NA
"77","Refused",0,6396,NA
"99","Don't know",11,6407,NA
".","Missing",3033,9440,NA
