"DSQIFDFE.Code.or.Value","DSQIFDFE.Value.Description","DSQIFDFE.Count","DSQIFDFE.Cumulative","DSQIFDFE.Skip.to.Item"
"3 to 17000","Range of Values",2713,2713,NA
".","Missing",6846,9559,NA
