"URD2DCLC.Code.or.Value","URD2DCLC.Value.Description","URD2DCLC.Count","URD2DCLC.Cumulative","URD2DCLC.Skip.to.Item"
"0","At or above the detection limit",22,22,NA
"1","Below lower detection limit",3147,3169,NA
".","Missing",148,3317,NA
