"SMQ690C.Code.or.Value","SMQ690C.Value.Description","SMQ690C.Count","SMQ690C.Cumulative","SMQ690C.Skip.to.Item"
"3","Cigars or little cigars or cigarilllos",165,165,NA
".","Missing",6814,6979,NA
