"DR1_330Z.Code.or.Value","DR1_330Z.Value.Description","DR1_330Z.Count","DR1_330Z.Cumulative","DR1_330Z.Skip.to.Item"
"0 to 16116","Range of Values",9754,9754,NA
".","Missing",499,10253,NA
