"URXMPB.Code.or.Value","URXMPB.Value.Description","URXMPB.Count","URXMPB.Cumulative","URXMPB.Skip.to.Item"
"0.71 to 7369","Range of Values",2686,2686,NA
".","Missing",91,2777,NA
