"DSQICAFF.Code.or.Value","DSQICAFF.Value.Description","DSQICAFF.Count","DSQICAFF.Cumulative","DSQICAFF.Skip.to.Item"
"70 to 400","Range of Values",17,17,NA
".","Missing",8252,8269,NA
