"LBDPFOSL.Code.or.Value","LBDPFOSL.Value.Description","LBDPFOSL.Count","LBDPFOSL.Cumulative","LBDPFOSL.Skip.to.Item"
"0","At or above the detection limit",2091,2091,NA
"1","Below lower detection limit",3,2094,NA
".","Missing",274,2368,NA
